2024-11-15 20:16:12,032 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:16:12,032 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:16:12,032 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:16:12,048 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:16:12,055 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:16:12,102 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-d4bb5715-e044-47db-8eab-730200180de9 HTTP/1.1" 201 None
2024-11-15 20:16:12,110 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/2333505f6b56eaccb34269b89f2d82f5ab4b5ff0a78b1928ae7df753163eea07/json HTTP/1.1" 200 None
2024-11-15 20:16:12,360 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/2333505f6b56eaccb34269b89f2d82f5ab4b5ff0a78b1928ae7df753163eea07/start HTTP/1.1" 204 0
2024-11-15 20:16:12,487 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/2333505f6b56eaccb34269b89f2d82f5ab4b5ff0a78b1928ae7df753163eea07/json HTTP/1.1" 200 None
2024-11-15 20:16:12,489 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:16:12,489 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-11-15 20:16:12,490 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:16:12,506 | MainProcess | MainThread | AutogenGame | INFO | Starting Autogen CYOA game
