2024-11-15 20:21:05,574 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:21:05,574 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:21:05,575 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:21:05,589 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:21:05,595 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:21:05,656 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-9268be54-acf7-4591-868e-a730f0183deb HTTP/1.1" 201 None
2024-11-15 20:21:05,673 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/json HTTP/1.1" 200 None
2024-11-15 20:21:05,982 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/start HTTP/1.1" 204 0
2024-11-15 20:21:06,091 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/3cd14a07037bbb4961d7ff4328ad845290c2ab25ac4cee5e4c27446b2659c2c1/json HTTP/1.1" 200 None
2024-11-15 20:21:06,093 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:21:06,098 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
