2024-11-15 20:27:04,206 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:27:04,207 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:27:04,207 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:27:04,224 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:27:04,234 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:27:04,284 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-77c5e9e7-7fc5-44b8-b3e3-36aacdad0569 HTTP/1.1" 201 None
2024-11-15 20:27:04,297 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/d587368b6d7363522f0e6a82e54609712740727f8c909b50538d3ac02d62d5cb/json HTTP/1.1" 200 None
2024-11-15 20:27:04,538 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/d587368b6d7363522f0e6a82e54609712740727f8c909b50538d3ac02d62d5cb/start HTTP/1.1" 204 0
2024-11-15 20:27:04,647 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/d587368b6d7363522f0e6a82e54609712740727f8c909b50538d3ac02d62d5cb/json HTTP/1.1" 200 None
2024-11-15 20:27:04,648 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:27:04,649 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-11-15 20:27:04,650 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:27:04,663 | MainProcess | MainThread | AutogenGame | INFO | Starting Autogen CYOA game
2024-11-15 20:27:04,722 | MainProcess | MainThread | openai._base_client | DEBUG | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': 'You are an AI game developer creating a text-based Choose Your Own Adventure game.\nYour task is to:\n1. Generate engaging game content\n2. Track game state\n3. Handle player choices\n4. Create immersive narratives\n\nWhen writing code:\n1. Use clear, well-documented functions\n2. Include error handling\n3. Follow Python best practices\n4. Save generated code to files\n\nBegin by creating the initial game scene and core game mechanics.', 'role': 'system'}, {'content': 'Generate the following game components:\n\n1. Create the initial game scene in markdown format\n2. Write a Python class to track game state\n3. Implement a function to handle player choices\n4. Create a logging system for game actions\n\nBegin with the first task: Create the initial game scene in markdown.', 'role': 'user', 'name': 'user_proxy'}], 'model': 'gpt-4o-mini', 'seed': 42, 'stream': False, 'temperature': 0.7}}
2024-11-15 20:27:04,747 | MainProcess | MainThread | openai._base_client | DEBUG | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2024-11-15 20:27:04,750 | MainProcess | MainThread | httpcore.connection | DEBUG | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=120 socket_options=None
