2024-11-15 20:20:18,458 | MainProcess | MainThread | docker.utils.config | DEBUG | Trying paths: ['/Users/ctavolazzi/.docker/config.json', '/Users/ctavolazzi/.dockercfg']
2024-11-15 20:20:18,459 | MainProcess | MainThread | docker.utils.config | DEBUG | Found file at path: /Users/ctavolazzi/.docker/config.json
2024-11-15 20:20:18,459 | MainProcess | MainThread | docker.auth | DEBUG | Found 'credsStore' section
2024-11-15 20:20:18,474 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /version HTTP/1.1" 200 None
2024-11-15 20:20:18,481 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/images/python:3-slim/json HTTP/1.1" 200 None
2024-11-15 20:20:18,525 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/create?name=autogen-code-exec-52634d67-7cce-46d3-b39f-00a03594e808 HTTP/1.1" 201 None
2024-11-15 20:20:18,533 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/4e70259b79a1d1f096288514f186a18dd360dee9161c14923af15bdf152d0d0f/json HTTP/1.1" 200 None
2024-11-15 20:20:18,785 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "POST /v1.44/containers/4e70259b79a1d1f096288514f186a18dd360dee9161c14923af15bdf152d0d0f/start HTTP/1.1" 204 0
2024-11-15 20:20:18,896 | MainProcess | MainThread | urllib3.connectionpool | DEBUG | http://localhost:None "GET /v1.44/containers/4e70259b79a1d1f096288514f186a18dd360dee9161c14923af15bdf152d0d0f/json HTTP/1.1" 200 None
2024-11-15 20:20:18,896 | MainProcess | MainThread | AutogenGame | INFO | Setting up agents
2024-11-15 20:20:18,897 | MainProcess | MainThread | httpx | DEBUG | load_ssl_context verify=True cert=None trust_env=True http2=False
2024-11-15 20:20:18,898 | MainProcess | MainThread | httpx | DEBUG | load_verify_locations cafile='/Users/ctavolazzi/.pyenv/versions/3.10.13/lib/python3.10/site-packages/certifi/cacert.pem'
2024-11-15 20:20:18,911 | MainProcess | MainThread | AutogenGame | INFO | Starting Autogen CYOA game
2024-11-15 20:20:18,969 | MainProcess | MainThread | openai._base_client | DEBUG | Request options: {'method': 'post', 'url': '/chat/completions', 'files': None, 'json_data': {'messages': [{'content': "You are an AI game developer creating a text-based Choose Your Own Adventure game.\nYour task is to:\n1. Create engaging scenarios and choices\n2. Generate markdown files for game content\n3. Implement game state tracking\n4. Create character dialogue based on game state\n5. Log all game actions\n6. Maintain consistent story flow\n\nThe game should:\n- Start with Sam Iker waking from a dream about flying around a skyscraper\n- Have 3 main choices plus an 'other' option for each scene\n- Track game state and character stats\n- Generate dynamic dialogue based on player choices", 'role': 'system'}, {'content': 'Generate the following game components:\n\n1. Create the initial game scene in markdown format\n2. Write a Python class to track game state\n3. Implement a function to handle player choices\n4. Create a logging system for game actions\n\nBegin with the first task: Create the initial game scene in markdown.', 'role': 'user', 'name': 'user_proxy'}], 'model': 'gpt-4', 'seed': 42, 'stream': False, 'temperature': 0.7}}
2024-11-15 20:20:18,997 | MainProcess | MainThread | openai._base_client | DEBUG | Sending HTTP Request: POST https://api.openai.com/v1/chat/completions
2024-11-15 20:20:18,998 | MainProcess | MainThread | httpcore.connection | DEBUG | connect_tcp.started host='api.openai.com' port=443 local_address=None timeout=120 socket_options=None
2024-11-15 20:20:19,291 | MainProcess | MainThread | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x11b122e90>
2024-11-15 20:20:19,292 | MainProcess | MainThread | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x11b099ac0> server_hostname='api.openai.com' timeout=120
2024-11-15 20:20:19,357 | MainProcess | MainThread | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x11b0db220>
2024-11-15 20:20:19,358 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2024-11-15 20:20:19,359 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_headers.complete
2024-11-15 20:20:19,359 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2024-11-15 20:20:19,359 | MainProcess | MainThread | httpcore.http11 | DEBUG | send_request_body.complete
2024-11-15 20:20:19,359 | MainProcess | MainThread | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
